Instance size,Baseline bandwidth (Mbps),Maximum bandwidth (Mbps),"Baseline throughput (MB/s, 128 KiB I/O)","Maximum throughput (MB/s, 128 KiB I/O)",Baseline IOPS (16 KiB I/O),Maximum IOPS (16 KiB I/O)
m6in.xlarge,3125.00,25000.00,390.62,3125.00,12500.00,100000.00
m6in.2xlarge,6250.00,25000.00,781.25,3125.00,25000.00,100000.00
m6in.4xlarge,12500.00,25000.00,1562.50,3125.00,50000.00,100000.00
m7a.medium,325.00,10000.00,40.62,1250.00,2500.00,40000.00
m7a.large,650.00,10000.00,81.25,1250.00,3600.00,40000.00
m7a.xlarge,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
m7a.2xlarge,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
m7a.4xlarge,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
m7g.medium,315.00,10000.00,39.38,1250.00,2500.00,40000.00
m7g.large,630.00,10000.00,78.75,1250.00,3600.00,40000.00
m7g.xlarge,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
m7g.2xlarge,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
m7g.4xlarge,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
m7gd.medium,315.00,10000.00,39.38,1250.00,2500.00,40000.00
m7gd.large,630.00,10000.00,78.75,1250.00,3600.00,40000.00
m7gd.xlarge,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
m7gd.2xlarge,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
m7gd.4xlarge,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
m7i.large,650.00,10000.00,81.25,1250.00,3600.00,40000.00
m7i.xlarge,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
m7i.2xlarge,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
m7i.4xlarge,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
m7i-flex.large,312.00,10000.00,39.06,1250.00,2500.00,40000.00
m7i-flex.xlarge,625.00,10000.00,78.12,1250.00,3600.00,40000.00
m7i-flex.2xlarge,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
m7i-flex.4xlarge,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
m7i-flex.8xlarge,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
m8g.medium,315.00,10000.00,39.38,1250.00,2500.00,40000.00
m8g.large,630.00,10000.00,78.75,1250.00,3600.00,40000.00
m8g.xlarge,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
m8g.2xlarge,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
m8g.4xlarge,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
t3.nano,43.00,2085.00,5.38,260.62,250.00,11800.00
t3.micro,87.00,2085.00,10.88,260.62,500.00,11800.00
t3.small,174.00,2085.00,21.75,260.62,1000.00,11800.00
t3.medium,347.00,2085.00,43.38,260.62,2000.00,11800.00
t3.large,695.00,2780.00,86.88,347.50,4000.00,15700.00
t3.xlarge,695.00,2780.00,86.88,347.50,4000.00,15700.00
t3.2xlarge,695.00,2780.00,86.88,347.50,4000.00,15700.00
t3a.nano,45.00,2085.00,5.62,260.62,250.00,11800.00
t3a.micro,90.00,2085.00,11.25,260.62,500.00,11800.00
t3a.small,175.00,2085.00,21.88,260.62,1000.00,11800.00
t3a.medium,350.00,2085.00,43.75,260.62,2000.00,11800.00
t3a.large,695.00,2780.00,86.88,347.50,4000.00,15700.00
t3a.xlarge,695.00,2780.00,86.88,347.50,4000.00,15700.00
t3a.2xlarge,695.00,2780.00,86.88,347.50,4000.00,15700.00
t4g.nano,43.00,2085.00,5.38,260.62,250.00,11800.00
t4g.micro,87.00,2085.00,10.88,260.62,500.00,11800.00
t4g.small,174.00,2085.00,21.75,260.62,1000.00,11800.00
t4g.medium,347.00,2085.00,43.38,260.62,2000.00,11800.00
t4g.large,695.00,2780.00,86.88,347.50,4000.00,15700.00
t4g.xlarge,695.00,2780.00,86.88,347.50,4000.00,15700.00
t4g.2xlarge,695.00,2780.00,86.88,347.50,4000.00,15700.00
c5.large,650.00,4750.00,81.25,593.75,4000.00,20000.00
c5.xlarge,1150.00,4750.00,143.75,593.75,6000.00,20000.00
c5.2xlarge,2300.00,4750.00,287.50,593.75,10000.00,20000.00
c5a.large,200.00,3170.00,25.00,396.25,800.00,13300.00
c5a.xlarge,400.00,3170.00,50.00,396.25,1600.00,13300.00
c5a.2xlarge,800.00,3170.00,100.00,396.25,3200.00,13300.00
c5a.4xlarge,1580.00,3170.00,197.50,396.25,6600.00,13300.00
c5ad.large,200.00,3170.00,25.00,396.25,800.00,13300.00
c5ad.xlarge,400.00,3170.00,50.00,396.25,1600.00,13300.00
c5ad.2xlarge,800.00,3170.00,100.00,396.25,3200.00,13300.00
c5ad.4xlarge,1580.00,3170.00,197.50,396.25,6600.00,13300.00
c5d.large,650.00,4750.00,81.25,593.75,4000.00,20000.00
c5d.xlarge,1150.00,4750.00,143.75,593.75,6000.00,20000.00
c5d.2xlarge,2300.00,4750.00,287.50,593.75,10000.00,20000.00
c5n.large,650.00,4750.00,81.25,593.75,4000.00,20000.00
c5n.xlarge,1150.00,4750.00,143.75,593.75,6000.00,20000.00
c5n.2xlarge,2300.00,4750.00,287.50,593.75,10000.00,20000.00
c6a.large,650.00,10000.00,81.25,1250.00,3600.00,40000.00
c6a.xlarge,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
c6a.2xlarge,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
c6a.4xlarge,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
c6g.medium,315.00,4750.00,39.38,593.75,2500.00,20000.00
c6g.large,630.00,4750.00,78.75,593.75,3600.00,20000.00
c6g.xlarge,1188.00,4750.00,148.50,593.75,6000.00,20000.00
c6g.2xlarge,2375.00,4750.00,296.88,593.75,12000.00,20000.00
c6gd.medium,315.00,4750.00,39.38,593.75,2500.00,20000.00
c6gd.large,630.00,4750.00,78.75,593.75,3600.00,20000.00
c6gd.xlarge,1188.00,4750.00,148.50,593.75,6000.00,20000.00
c6gd.2xlarge,2375.00,4750.00,296.88,593.75,12000.00,20000.00
c6gn.medium,760.00,9500.00,95.00,1187.50,2500.00,40000.00
c6gn.large,1235.00,9500.00,154.38,1187.50,5000.00,40000.00
c6gn.xlarge,2375.00,9500.00,296.88,1187.50,10000.00,40000.00
c6gn.2xlarge,4750.00,9500.00,593.75,1187.50,20000.00,40000.00
c6i.large,650.00,10000.00,81.25,1250.00,3600.00,40000.00
c6i.xlarge,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
c6i.2xlarge,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
c6i.4xlarge,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
c6id.large,650.00,10000.00,81.25,1250.00,3600.00,40000.00
c6id.xlarge,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
c6id.2xlarge,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
c6id.4xlarge,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
c6in.large,1562.00,25000.00,195.31,3125.00,6250.00,100000.00
c6in.xlarge,3125.00,25000.00,390.62,3125.00,12500.00,100000.00
c6in.2xlarge,6250.00,25000.00,781.25,3125.00,25000.00,100000.00
c6in.4xlarge,12500.00,25000.00,1562.50,3125.00,50000.00,100000.00
c7a.medium,325.00,10000.00,40.62,1250.00,2500.00,40000.00
c7a.large,650.00,10000.00,81.25,1250.00,3600.00,40000.00
c7a.xlarge,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
c7a.2xlarge,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
c7a.4xlarge,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
c7g.medium,315.00,10000.00,39.38,1250.00,2500.00,40000.00
c7g.large,630.00,10000.00,78.75,1250.00,3600.00,40000.00
c7g.xlarge,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
c7g.2xlarge,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
c7g.4xlarge,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
c7gd.medium,315.00,10000.00,39.38,1250.00,2500.00,40000.00
c7gd.large,630.00,10000.00,78.75,1250.00,3600.00,40000.00
c7gd.xlarge,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
c7gd.2xlarge,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
c7gd.4xlarge,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
c7gn.medium,521.00,10000.00,65.12,1250.00,2083.00,40000.00
c7gn.large,1042.00,10000.00,130.25,1250.00,4167.00,40000.00
c7gn.xlarge,2083.00,10000.00,260.38,1250.00,8333.00,40000.00
c7gn.2xlarge,4167.00,10000.00,520.88,1250.00,16667.00,40000.00
c7gn.4xlarge,8333.00,10000.00,1041.62,1250.00,33333.00,40000.00
c7gn.8xlarge,16667.00,20000.00,2083.38,2500.00,66667.00,80000.00
c7gn.12xlarge,25000.00,30000.00,3125.00,3750.00,100000.00,120000.00
c7gn.16xlarge,33333.00,40000.00,4166.62,5000.00,133333.00,160000.00
c7gn.metal,33333.00,40000.00,4166.62,5000.00,133333.00,160000.00
c7i.large,650.00,10000.00,81.25,1250.00,3600.00,40000.00
c7i.xlarge,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
c7i.2xlarge,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
c7i.4xlarge,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
c7i-flex.large,312.00,10000.00,39.06,1250.00,2500.00,40000.00
c7i-flex.xlarge,625.00,10000.00,78.12,1250.00,3600.00,40000.00
c7i-flex.2xlarge,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
c7i-flex.4xlarge,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
c7i-flex.8xlarge,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
c8g.medium,315.00,10000.00,39.38,1250.00,2500.00,40000.00
c8g.large,630.00,10000.00,78.75,1250.00,3600.00,40000.00
c8g.xlarge,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
c8g.2xlarge,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
c8g.4xlarge,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
r5.large,650.00,4750.00,81.25,593.75,3600.00,18750.00
r5.xlarge,1150.00,4750.00,143.75,593.75,6000.00,18750.00
r5.2xlarge,2300.00,4750.00,287.50,593.75,12000.00,18750.00
r5a.large,650.00,2880.00,81.25,360.00,3600.00,16000.00
r5a.xlarge,1085.00,2880.00,135.62,360.00,6000.00,16000.00
r5a.2xlarge,1580.00,2880.00,197.50,360.00,8333.00,16000.00
r5ad.large,650.00,2880.00,81.25,360.00,3600.00,16000.00
r5ad.xlarge,1085.00,2880.00,135.62,360.00,6000.00,16000.00
r5ad.2xlarge,1580.00,2880.00,197.50,360.00,8333.00,16000.00
r5b.large,1250.00,10000.00,156.25,1250.00,5417.00,43333.00
r5b.xlarge,2500.00,10000.00,312.50,1250.00,10833.00,43333.00
r5b.2xlarge,5000.00,10000.00,625.00,1250.00,21667.00,43333.00
r5d.large,650.00,4750.00,81.25,593.75,3600.00,18750.00
r5d.xlarge,1150.00,4750.00,143.75,593.75,6000.00,18750.00
r5d.2xlarge,2300.00,4750.00,287.50,593.75,12000.00,18750.00
r5dn.large,650.00,4750.00,81.25,593.75,3600.00,18750.00
r5dn.xlarge,1150.00,4750.00,143.75,593.75,6000.00,18750.00
r5dn.2xlarge,2300.00,4750.00,287.50,593.75,12000.00,18750.00
r5n.large,650.00,4750.00,81.25,593.75,3600.00,18750.00
r5n.xlarge,1150.00,4750.00,143.75,593.75,6000.00,18750.00
r5n.2xlarge,2300.00,4750.00,287.50,593.75,12000.00,18750.00
r6a.large,650.00,10000.00,81.25,1250.00,3600.00,40000.00
r6a.xlarge,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
r6a.2xlarge,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
r6a.4xlarge,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
r6g.medium,315.00,4750.00,39.38,593.75,2500.00,20000.00
r6g.large,630.00,4750.00,78.75,593.75,3600.00,20000.00
r6g.xlarge,1188.00,4750.00,148.50,593.75,6000.00,20000.00
r6g.2xlarge,2375.00,4750.00,296.88,593.75,12000.00,20000.00
r6gd.medium,315.00,4750.00,39.38,593.75,2500.00,20000.00
r6gd.large,630.00,4750.00,78.75,593.75,3600.00,20000.00
r6gd.xlarge,1188.00,4750.00,148.50,593.75,6000.00,20000.00
r6gd.2xlarge,2375.00,4750.00,296.88,593.75,12000.00,20000.00
r6i.large,650.00,10000.00,81.25,1250.00,3600.00,40000.00
r6i.xlarge,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
r6i.2xlarge,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
r6i.4xlarge,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
r6idn.large,1562.00,25000.00,195.31,3125.00,6250.00,100000.00
r6idn.xlarge,3125.00,25000.00,390.62,3125.00,12500.00,100000.00
r6idn.2xlarge,6250.00,25000.00,781.25,3125.00,25000.00,100000.00
r6idn.4xlarge,12500.00,25000.00,1562.50,3125.00,50000.00,100000.00
r6in.large,1562.00,25000.00,195.31,3125.00,6250.00,100000.00
r6in.xlarge,3125.00,25000.00,390.62,3125.00,12500.00,100000.00
r6in.2xlarge,6250.00,25000.00,781.25,3125.00,25000.00,100000.00
r6in.4xlarge,12500.00,25000.00,1562.50,3125.00,50000.00,100000.00
r6id.large,650.00,10000.00,81.25,1250.00,3600.00,40000.00
r6id.xlarge,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
r6id.2xlarge,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
r6id.4xlarge,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
r7a.medium,325.00,10000.00,40.62,1250.00,2500.00,40000.00
r7a.large,650.00,10000.00,81.25,1250.00,3600.00,40000.00
r7a.xlarge,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
r7a.2xlarge,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
r7a.4xlarge,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
r7g.medium,315.00,10000.00,39.38,1250.00,2500.00,40000.00
r7g.large,630.00,10000.00,78.75,1250.00,3600.00,40000.00
r7g.xlarge,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
r7g.2xlarge,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
r7g.4xlarge,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
r7gd.medium,315.00,10000.00,39.38,1250.00,2500.00,40000.00
r7gd.large,630.00,10000.00,78.75,1250.00,3600.00,40000.00
r7gd.xlarge,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
r7gd.2xlarge,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
r7gd.4xlarge,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
r7i.large,650.00,10000.00,81.25,1250.00,3600.00,40000.00
r7i.xlarge,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
r7i.2xlarge,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
r7i.4xlarge,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
r7iz.large,792.00,10000.00,99.00,1250.00,3600.00,40000.00
r7iz.xlarge,1584.00,10000.00,198.00,1250.00,6667.00,40000.00
r7iz.2xlarge,3168.00,10000.00,396.00,1250.00,13333.00,40000.00
r7iz.4xlarge,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
r8g.medium,315.00,10000.00,39.38,1250.00,2500.00,40000.00
r8g.large,630.00,10000.00,78.75,1250.00,3600.00,40000.00
r8g.xlarge,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
r8g.2xlarge,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
r8g.4xlarge,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
x2gd.medium,315.00,4750.00,39.38,593.75,2500.00,20000.00
x2gd.large,630.00,4750.00,78.75,593.75,3600.00,20000.00
x2gd.xlarge,1188.00,4750.00,148.50,593.75,6000.00,20000.00
x2gd.2xlarge,2375.00,4750.00,296.88,593.75,12000.00,20000.00
x2iedn.xlarge,2500.00,20000.00,312.50,2500.00,8125.00,65000.00
x2iedn.2xlarge,5000.00,20000.00,625.00,2500.00,16250.00,65000.00
x2iedn.4xlarge,10000.00,20000.00,1250.00,2500.00,32500.00,65000.00
x8g.medium,315.00,10000.00,39.38,1250.00,2500.00,40000.00
x8g.large,630.00,10000.00,78.75,1250.00,3600.00,40000.00
x8g.xlarge,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
x8g.2xlarge,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
x8g.4xlarge,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
z1d.large,800.00,3170.00,100.00,396.25,3333.00,13333.00
z1d.xlarge,1580.00,3170.00,197.50,396.25,6667.00,13333.00
d3.xlarge,850.00,2800.00,106.25,350.00,5000.00,15000.00
d3.2xlarge,1700.00,2800.00,212.50,350.00,10000.00,15000.00
d3en.xlarge,850.00,2800.00,106.25,350.00,5000.00,15000.00
d3en.2xlarge,1700.00,2800.00,212.50,350.00,10000.00,15000.00
i3en.large,576.00,4750.00,72.10,593.75,3000.00,20000.00
i3en.xlarge,1153.00,4750.00,144.20,593.75,6000.00,20000.00
i3en.2xlarge,2307.00,4750.00,288.39,593.75,12000.00,20000.00
i3en.3xlarge,3800.00,4750.00,475.00,593.75,15000.00,20000.00
i4g.large,625.00,10000.00,78.12,1250.00,2500.00,40000.00
i4g.xlarge,1250.00,10000.00,156.25,1250.00,5000.00,40000.00
i4g.2xlarge,2500.00,10000.00,312.50,1250.00,10000.00,40000.00
i4g.4xlarge,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
i4i.large,625.00,10000.00,78.12,1250.00,2500.00,40000.00
i4i.xlarge,1250.00,10000.00,156.25,1250.00,5000.00,40000.00
i4i.2xlarge,2500.00,10000.00,312.50,1250.00,10000.00,40000.00
i4i.4xlarge,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
im4gn.large,1250.00,10000.00,156.25,1250.00,5000.00,40000.00
im4gn.xlarge,2500.00,10000.00,312.50,1250.00,10000.00,40000.00
im4gn.2xlarge,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
is4gen.medium,625.00,10000.00,78.12,1250.00,2500.00,40000.00
is4gen.large,1250.00,10000.00,156.25,1250.00,5000.00,40000.00
is4gen.xlarge,2500.00,10000.00,312.50,1250.00,10000.00,40000.00
is4gen.2xlarge,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
g4ad.xlarge,400.00,3170.00,50.00,396.25,1700.00,13333.00
g4ad.2xlarge,800.00,3170.00,100.00,396.25,3400.00,13333.00
g4ad.4xlarge,1580.00,3170.00,197.50,396.25,6700.00,13333.00
g4dn.xlarge,950.00,3500.00,118.75,437.50,3000.00,20000.00
g4dn.2xlarge,1150.00,3500.00,143.75,437.50,6000.00,20000.00
g5.xlarge,700.00,3500.00,87.50,437.50,3000.00,15000.00
g5.2xlarge,850.00,3500.00,106.25,437.50,3500.00,15000.00
g5g.xlarge,1188.00,4750.00,148.50,593.75,6000.00,20000.00
g5g.2xlarge,2375.00,4750.00,296.88,593.75,12000.00,20000.00
g6.xlarge,1000.00,5000.00,125.00,625.00,4000.00,20000.00
g6.2xlarge,2000.00,5000.00,250.00,625.00,8000.00,20000.00
g6e.xlarge,1000.00,5000.00,125.00,625.00,4000.00,20000.00
g6e.2xlarge,2000.00,5000.00,250.00,625.00,8000.00,20000.00
inf1.xlarge,1190.00,4750.00,148.75,593.75,4000.00,20000.00
inf1.2xlarge,1190.00,4750.00,148.75,593.75,6000.00,20000.00
inf2.xlarge,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
trn1.2xlarge,5000.00,20000.00,625.00,2500.00,16250.00,65000.00
vt1.3xlarge,2375.00,4750.00,296.88,593.75,10000.00,20000.00
hpc6a.48xlarge,87.00,2085.00,10.88,260.62,500.00,11000.00
hpc6id.32xlarge,87.00,2085.00,10.88,260.62,500.00,11000.00
hpc7a.12xlarge,87.00,2085.00,10.88,260.62,500.00,11000.00
hpc7a.24xlarge,87.00,2085.00,10.88,260.62,500.00,11000.00
hpc7a.48xlarge,87.00,2085.00,10.88,260.62,500.00,11000.00
hpc7a.96xlarge,87.00,2085.00,10.88,260.62,500.00,11000.00
hpc7g.4xlarge,87.00,2085.00,10.88,260.62,500.00,11000.00
hpc7g.8xlarge,87.00,2085.00,10.88,260.62,500.00,11000.00
hpc7g.16xlarge,87.00,2085.00,10.88,260.62,500.00,11000.00
